fecha,mes,año,es_festivo
2023-01-01,January,2023,Sí
2023-01-02,January,2023,No
2023-01-03,January,2023,No
2023-01-04,January,2023,No
2023-01-05,January,2023,No
2023-01-06,January,2023,No
2023-01-07,January,2023,No
2023-01-08,January,2023,No
2023-01-09,January,2023,Sí
2023-01-10,January,2023,No
2023-01-11,January,2023,No
2023-01-12,January,2023,No
2023-01-13,January,2023,No
2023-01-14,January,2023,No
2023-01-15,January,2023,No
2023-01-16,January,2023,No
2023-01-17,January,2023,No
2023-01-18,January,2023,No
2023-01-19,January,2023,No
2023-01-20,January,2023,No
2023-01-21,January,2023,No
2023-01-22,January,2023,No
2023-01-23,January,2023,No
2023-01-24,January,2023,No
2023-01-25,January,2023,No
2023-01-26,January,2023,No
2023-01-27,January,2023,No
2023-01-28,January,2023,No
2023-01-29,January,2023,No
2023-01-30,January,2023,No
2023-01-31,January,2023,No
2023-02-01,February,2023,No
2023-02-02,February,2023,No
2023-02-03,February,2023,No
2023-02-04,February,2023,No
2023-02-05,February,2023,No
2023-02-06,February,2023,No
2023-02-07,February,2023,No
2023-02-08,February,2023,No
2023-02-09,February,2023,No
2023-02-10,February,2023,No
2023-02-11,February,2023,No
2023-02-12,February,2023,No
2023-02-13,February,2023,No
2023-02-14,February,2023,No
2023-02-15,February,2023,No
2023-02-16,February,2023,No
2023-02-17,February,2023,No
2023-02-18,February,2023,No
2023-02-19,February,2023,No
2023-02-20,February,2023,No
2023-02-21,February,2023,No
2023-02-22,February,2023,No
2023-02-23,February,2023,No
2023-02-24,February,2023,No
2023-02-25,February,2023,No
2023-02-26,February,2023,No
2023-02-27,February,2023,No
2023-02-28,February,2023,No
2023-03-01,March,2023,No
2023-03-02,March,2023,No
2023-03-03,March,2023,No
2023-03-04,March,2023,No
2023-03-05,March,2023,No
2023-03-06,March,2023,No
2023-03-07,March,2023,No
2023-03-08,March,2023,No
2023-03-09,March,2023,No
2023-03-10,March,2023,No
2023-03-11,March,2023,No
2023-03-12,March,2023,No
2023-03-13,March,2023,No
2023-03-14,March,2023,No
2023-03-15,March,2023,No
2023-03-16,March,2023,No
2023-03-17,March,2023,No
2023-03-18,March,2023,No
2023-03-19,March,2023,No
2023-03-20,March,2023,Sí
2023-03-21,March,2023,No
2023-03-22,March,2023,No
2023-03-23,March,2023,No
2023-03-24,March,2023,No
2023-03-25,March,2023,No
2023-03-26,March,2023,No
2023-03-27,March,2023,No
2023-03-28,March,2023,No
2023-03-29,March,2023,No
2023-03-30,March,2023,No
2023-03-31,March,2023,No
2023-04-01,April,2023,No
2023-04-02,April,2023,No
2023-04-03,April,2023,No
2023-04-04,April,2023,No
2023-04-05,April,2023,No
2023-04-06,April,2023,Sí
2023-04-07,April,2023,Sí
2023-04-08,April,2023,No
2023-04-09,April,2023,No
2023-04-10,April,2023,No
2023-04-11,April,2023,No
2023-04-12,April,2023,No
2023-04-13,April,2023,No
2023-04-14,April,2023,No
2023-04-15,April,2023,No
2023-04-16,April,2023,No
2023-04-17,April,2023,No
2023-04-18,April,2023,No
2023-04-19,April,2023,No
2023-04-20,April,2023,No
2023-04-21,April,2023,No
2023-04-22,April,2023,No
2023-04-23,April,2023,No
2023-04-24,April,2023,No
2023-04-25,April,2023,No
2023-04-26,April,2023,No
2023-04-27,April,2023,No
2023-04-28,April,2023,No
2023-04-29,April,2023,No
2023-04-30,April,2023,No
2023-05-01,May,2023,Sí
2023-05-02,May,2023,No
2023-05-03,May,2023,No
2023-05-04,May,2023,No
2023-05-05,May,2023,No
2023-05-06,May,2023,No
2023-05-07,May,2023,No
2023-05-08,May,2023,No
2023-05-09,May,2023,No
2023-05-10,May,2023,No
2023-05-11,May,2023,No
2023-05-12,May,2023,No
2023-05-13,May,2023,No
2023-05-14,May,2023,No
2023-05-15,May,2023,No
2023-05-16,May,2023,No
2023-05-17,May,2023,No
2023-05-18,May,2023,No
2023-05-19,May,2023,No
2023-05-20,May,2023,No
2023-05-21,May,2023,No
2023-05-22,May,2023,Sí
2023-05-23,May,2023,No
2023-05-24,May,2023,No
2023-05-25,May,2023,No
2023-05-26,May,2023,No
2023-05-27,May,2023,No
2023-05-28,May,2023,No
2023-05-29,May,2023,No
2023-05-30,May,2023,No
2023-05-31,May,2023,No
2023-06-01,June,2023,No
2023-06-02,June,2023,No
2023-06-03,June,2023,No
2023-06-04,June,2023,No
2023-06-05,June,2023,No
2023-06-06,June,2023,No
2023-06-07,June,2023,No
2023-06-08,June,2023,No
2023-06-09,June,2023,No
2023-06-10,June,2023,No
2023-06-11,June,2023,No
2023-06-12,June,2023,Sí
2023-06-13,June,2023,No
2023-06-14,June,2023,No
2023-06-15,June,2023,No
2023-06-16,June,2023,No
2023-06-17,June,2023,No
2023-06-18,June,2023,No
2023-06-19,June,2023,Sí
2023-06-20,June,2023,No
2023-06-21,June,2023,No
2023-06-22,June,2023,No
2023-06-23,June,2023,No
2023-06-24,June,2023,No
2023-06-25,June,2023,No
2023-06-26,June,2023,No
2023-06-27,June,2023,No
2023-06-28,June,2023,No
2023-06-29,June,2023,No
2023-06-30,June,2023,No
2023-07-01,July,2023,No
2023-07-02,July,2023,No
2023-07-03,July,2023,Sí
2023-07-04,July,2023,No
2023-07-05,July,2023,No
2023-07-06,July,2023,No
2023-07-07,July,2023,No
2023-07-08,July,2023,No
2023-07-09,July,2023,No
2023-07-10,July,2023,No
2023-07-11,July,2023,No
2023-07-12,July,2023,No
