proveedor_id,proveedor_nombre,ciudad,calificacion
1,Ambulancias Cruz Verde Bogotá 1,Bogotá,3
2,Grúas Rápidas Bogotá 2,Bogotá,5
3,Mecánica Express Bogotá 3,Bogotá,4
4,Auto Rescate Bogotá 4,Bogotá,4
5,Auto Rescate Bogotá 5,Bogotá,3
6,Servicios Integrales Auto Bogotá 6,Bogotá,3
7,Ambulancias Cruz Verde Bogotá 7,Bogotá,2
8,Baterías Express Bogotá 8,Bogotá,5
9,Baterías Plus Bogotá 9,Bogotá,4
10,Cerrajería 24/7 Bogotá 10,Bogotá,4
11,Grúas Rápidas Bogotá 11,Bogotá,1
12,Baterías Express Bogotá 12,Bogotá,5
13,Auxilio Vial Bogotá 13,Bogotá,5
14,Auto Rescate Bogotá 14,Bogotá,3
15,Grúas Rápidas Bogotá 15,Bogotá,3
16,Auxilio Vial Bogotá 16,Bogotá,3
17,Baterías Plus Bogotá 17,Bogotá,3
18,Auto Rescate Bogotá 18,Bogotá,4
19,Servicios Móviles Bogotá 19,Bogotá,4
20,Mecánica Express Bogotá 20,Bogotá,3
21,Grúas Rápidas Bogotá 21,Bogotá,4
22,Asistencia Vehicular Bogotá 22,Bogotá,2
23,Baterías Plus Bogotá 23,Bogotá,3
24,Asistencia Total Bogotá 24,Bogotá,3
25,Mecánica Express Bogotá 25,Bogotá,4
26,Servicios Integrales Auto Bogotá 26,Bogotá,4
27,Auxilio Vial Bogotá 27,Bogotá,3
28,Asistencia Total Bogotá 28,Bogotá,4
29,Ambulancias Cruz Verde Bogotá 29,Bogotá,4
30,Baterías Express Bogotá 30,Bogotá,1
31,Cerrajería Express Bogotá 31,Bogotá,4
32,Ambulancias Cruz Verde Bogotá 32,Bogotá,3
33,Grúas El Rápido Bogotá 33,Bogotá,2
34,Grúas El Rápido Bogotá 34,Bogotá,5
35,Mecánica Express Bogotá 35,Bogotá,5
36,Cerrajería 24/7 Bogotá 36,Bogotá,5
37,Servicios Móviles Bogotá 37,Bogotá,3
38,Ambulancias Cruz Verde Bogotá 38,Bogotá,2
39,Cerrajería Express Bogotá 39,Bogotá,4
40,Baterías Express Bogotá 40,Bogotá,4
41,Servicios SOS Bogotá 41,Bogotá,2
42,Grúas El Rápido Bogotá 42,Bogotá,4
43,Auxilio Vial Bogotá 43,Bogotá,1
44,Baterías Express Bogotá 44,Bogotá,5
45,Cerrajería 24/7 Bogotá 45,Bogotá,3
46,Auto Rescate Bogotá 46,Bogotá,4
47,Servicios SOS Bogotá 47,Bogotá,3
48,Baterías Express Bogotá 48,Bogotá,4
49,Auto Rescate Bogotá 49,Bogotá,4
50,Ambulancias Cruz Verde Bogotá 50,Bogotá,3
51,Cerrajería Express Bogotá 51,Bogotá,5
52,Mecánica Express Bogotá 52,Bogotá,4
53,Servicios Móviles Bogotá 53,Bogotá,5
54,Grúas El Rápido Bogotá 54,Bogotá,5
55,Asistencia Vehicular Bogotá 55,Bogotá,4
56,Grúas El Rápido Bogotá 56,Bogotá,5
57,Grúas El Rápido Bogotá 57,Bogotá,2
58,Auxilio Vial Bogotá 58,Bogotá,3
59,Mecánica Express Bogotá 59,Bogotá,1
60,Baterías Express Bogotá 60,Bogotá,3
61,Asistencia Vehicular Medellín 1,Medellín,3
62,Auto Rescate Medellín 2,Medellín,3
63,Asistencia Vehicular Medellín 3,Medellín,5
64,Servicios Móviles Medellín 4,Medellín,3
65,Cerrajería Express Medellín 5,Medellín,3
66,Mecánica Express Medellín 6,Medellín,4
67,Auto Rescate Medellín 7,Medellín,2
68,Asistencia Total Medellín 8,Medellín,5
69,Cerrajería 24/7 Medellín 9,Medellín,2
70,Auto Rescate Medellín 10,Medellín,5
