servicio_id,fecha_servicio,tipo_servicio,ciudad,cliente,proveedor_id,tiempo_respuesta_min,estado_servicio,costo_servicio
SRV012291,2024-03-28 03:28:00,Grúa,Bogotá,Mundial Seguros,3,82.0,Completado,335766
SRV013946,2024-06-09 20:45:00,Batería,Bogotá,Banco Davivienda,14,15.0,Completado,151191
SRV014899,2024-03-01 23:36:00,Grúa,Barranquilla,Mundial Seguros,146,66.0,Completado,368466
SRV010130,2024-02-23 23:49:00,Grúa,Medellín,Liberty Seguros,93,67.0,Completado,289845
SRV005568,2024-02-23 00:50:00,Grúa,Bogotá,Avianca,9,65.0,Completado,202441
SRV013613,2024-01-19 14:06:00,Cerrajería,Medellín,HDI Seguros,71,36.0,Completado,100386
SRV003695,2024-02-14 07:56:00,Cerrajería,Cali,Sura Seguros,115,28.0,Completado,63422
SRV014839,2024-02-23 23:09:00,Cerrajería,Barranquilla,SBS Seguros,138,41.0,Completado,125602
SRV004991,2024-05-21 15:08:00,Grúa,BOGOTA,Bancolombia,4,51.0,Completado,285459
SRV004875,2024-06-01 03:52:00,Grúa,Medellín,Bancolombia,67,77.0,Completado,275544
SRV002544,2024-06-06 11:19:00,Cerrajería,Medellín,Zurich Seguros,72,27.0,Completado,114957
SRV001295,2024-01-17 08:45:00,Cerrajería,Bogotá,Bancolombia,57,62.0,Completado,118087
SRV012157,2024-03-03 23:24:00,Cerrajería,Cali,Grupo Nutresa,116,34.0,Completado,88776
SRV007585,2024-05-05 23:43:00,Grúa,Bogota D.C.,Bancolombia,15,94.0,Completado,249377
SRV003282,2024-01-28 10:09:00,Cerrajería,Cali,Avianca,99,31.0,Completado,132880
SRV001709,2024-01-23 15:28:00,Batería,Bogotá,Grupo Nutresa,1,21.0,Completado,107726
SRV004148,2024-06-10 23:17:00,Grúa,Barranquilla,Seguros Bolivar,146,69.0,Completado,238863
SRV010002,2024-01-20 14:53:00,Grúa,Bogota D.C.,Scotiabank Colpatria,47,75.0,Completado,274321
SRV000995,2024-06-12 21:59:00,Cerrajería,Bogotá,Grupo Argos,13,38.0,Completado,144787
SRV012097,2024-05-29 03:43:00,Grúa,Medellín,Grupo Argos,65,88.0,Completado,167622
SRV007102,2024-03-17 17:42:00,Grúa,BOGOTA,Allianz Seguros,53,,Cancelado,249670
SRV002683,2024-01-03 21:00:00,Grúa,Cali,Banco Davivienda,104,65.0,Completado,297115
SRV000380,2024-05-03 03:15:00,Grúa,Barranquilla,Sura Seguros,140,78.0,Completado,259232
SRV007642,2024-01-17 23:40:00,Batería,Cali,Seguros Generales,113,21.0,Completado,106800
SRV013268,2024-03-18 19:57:00,Grúa,Barranquilla,Mapfre Colombia,148,102.0,Completado,247090
SRV011982,2024-03-17 16:20:00,Grúa, Bogotá,HDI Seguros,48,60.0,Completado,290325
SRV006330,2024-01-17 04:36:00,Grúa,BOGOTA,Scotiabank Colpatria,50,65.0,Completado,223236
SRV010151,2024-05-30 17:27:00,Batería,Barranquilla,Banco Davivienda,148,23.0,Completado,60930
SRV004623,2024-05-17 07:46:00,Grúa,Medellín,Equidad Seguros,68,73.0,Completado,230470
SRV013129,2024-06-16 06:36:00,Grúa,Barranquilla,Zurich Seguros,130,61.0,Completado,244377
SRV008061,2024-06-21 22:35:00,Cerrajería,Barranquilla,Grupo Éxito,135,32.0,Completado,89839
SRV009494,2024-04-28 10:40:00,Batería,Bogota D.C.,BBVA Colombia,30,,Completado,122740
SRV000798,2024-05-29 09:50:00,Ambulancia,Barranquilla,SBS Seguros,146,20.0,Completado,421021
SRV008387,2024-02-11 17:39:00,Cerrajería,Bogotá,BBVA Colombia,4,37.0,Completado,50000
SRV004600,2024-03-02 17:25:00,Grúa,Medellín,Seguros Bolivar,61,36.0,Completado,229798
SRV011518,2024-02-05 04:01:00,Batería, Bogotá,Banco de Bogotá,28,35.0,Completado,101477
SRV011645,2024-06-27 00:18:00,Grúa,Bogotá,Zurich Seguros,24,42.0,Completado,264425
SRV005328,2024-01-25 01:39:00,Grúa,Cali,Bancolombia,117,71.0,Completado,184655
SRV013393,2024-04-20 07:20:00,Grúa,Cali,Liberty Seguros,100,70.0,Completado,219274
SRV011064,2024-01-01 10:00:00,Ambulancia,Barranquilla,Bancolombia,135,17.0,Completado,228663
